GDP per Capita,Life Expectancy,Score
1.44178,0.79504,7.526
1.52733,0.86303,7.509
1.42666,0.86733,7.501
1.57744,0.79579,7.498
1.40598,0.81091,7.413
1.44015,0.8276,7.404
1.46468,0.81231,7.339
1.36066,0.83096,7.334
1.44443,0.8512,7.313
1.45181,0.83121,7.291
1.33766,0.84917,7.267
1.45038,0.80565,7.119
1.50796,0.779,7.104
1.06879,0.76146,7.087
1.35943,0.77758,7.039
1.44787,0.81487,6.994
1.08754,0.61415,6.952
1.42539,0.81959,6.929
1.48341,0.81455,6.907
1.69752,0.84542,6.871
1.11508,0.71143,6.778
1.64555,0.94719,6.739
1.40283,0.80991,6.725
1.2167,0.81883,6.705
1.18306,0.70835,6.701
1.15137,0.69711,6.65
1.30915,0.76376,6.596
1.57352,0.72993,6.573
1.18157,0.72183,6.545
1.30782,0.80315,6.488
1.03032,0.59659,6.481
1.39488,0.83795,6.478
1.0893,0.64915,6.474
1.48953,0.59267,6.379
1.39729,0.79565,6.379
1.82427,0.71723,6.375
1.34253,0.87896,6.361
1.05266,0.61804,6.355
0.83454,0.54039,6.324
1.09686,0.50933,6.269
1.61714,0.63569,6.239
1.44024,0.65696,6.218
1.32572,0.52608,6.168
1.13367,0.61904,6.084
1.27973,0.70367,6.078
0.8737,0.596,6.068
1.25142,0.62366,6.005
0.69384,0.65213,5.992
0.73591,0.50163,5.987
1.35495,0.85102,5.977
0.97306,0.68613,5.976
0.87616,0.45569,5.956
1.38007,0.91491,5.921
1.22943,0.57386,5.919
0.69177,0.52309,5.897
1.23228,0.58991,5.856
1.24585,0.69058,5.835
1.35948,0.88645,5.835
0.79422,0.4697,5.822
1.2692,0.64674,5.813
1.13062,0.63104,5.802
1.31141,0.84142,5.771
1.29947,0.79151,5.768
0.99602,0.62994,5.743
1.08017,0.44006,5.658
1.14372,0.66189,5.648
1.06688,0.52304,5.615
1.21788,0.63952,5.56
1.31857,0.8488,5.546
0.89373,0.58295,5.538
1.1697,0.67602,5.528
1.27964,0.68098,5.517
0.89333,0.59469,5.51
1.18649,0.70524,5.488
1.5107,0.95277,5.458
0,0.11466,5.44
0.90145,0.54,5.401
1.16492,0.64718,5.389
0.95104,0.49374,5.314
0.99673,0.60712,5.303
1.12373,0.54504,5.291
0.81217,0.47036,5.279
1.0278,0.73561,5.245
0.8527,0.49759,5.196
0.56044,0.55449,5.185
1.03437,0.6458,5.177
0.93383,0.70766,5.163
1.07838,0.63533,5.161
1.02787,0.57669,5.155
0.84058,0.59471,5.151
1.24142,0.67608,5.145
0.68816,0.40306,5.132
1.12268,0.76171,5.129
1.27607,0.79363,5.123
1.0193,0.64738,5.121
0.74037,0.66157,5.061
0.25558,0.33108,5.057
0.97724,0.59577,5.045
1.24886,0.80029,5.033
0.48835,0.53119,4.996
0.98853,0.55469,4.907
0.68042,0.38291,4.876
0.75216,0.05108,4.875
0.69429,0.58383,4.871
1.11758,0.64232,4.813
0.61202,0.23573,4.795
0.44626,0.50073,4.793
0.67024,0.56844,4.754
0.9553,0.73007,4.655
0.54177,0.52989,4.643
0.36485,0,4.635
1.07474,0.51076,4.575
0.93287,0.34745,4.574
0.52497,0.12698,4.513
0.29283,0.34578,4.508
1.02416,0.18611,4.459
0.97318,0.62007,4.415
0.74036,0.45091,4.404
0.34112,0.3988,4.395
0.95395,0.52116,4.362
0.86086,0.64083,4.36
0.52267,0.30147,4.356
0.87287,0.58628,4.324
0.63107,0.29681,4.276
0.05661,0.188,4.272
0.83792,0.64035,4.252
0.77109,0.28212,4.236
0.44314,0.40457,4.219
1.11306,0.67806,4.217
0.61391,0.28639,4.201
0.35041,0.1595,4.193
0.08709,0.29364,4.156
0.63069,0.29759,4.139
1.15851,0.3494,4.121
0.31292,0.16347,4.073
0.34097,0.27494,4.028
1.09426,0.34752,3.974
0.27509,0.29981,3.956
0.55507,0.04476,3.916
0.55604,0.42494,3.907
0.84731,0.04991,3.866
0.1327,0.26162,3.856
0.39394,0.15781,3.832
0.42214,0.03824,3.763
0.31995,0.21297,3.739
0.34719,0.19625,3.739
0.57939,0.31048,3.724
0.27954,0.37109,3.695
0.47155,0.357,3.666
0.10706,0.23165,3.622
0.22415,0.18829,3.607
0.32846,0.31865,3.515
0.39499,0.21028,3.484
0.38227,0.17344,3.36
0.28123,0.24811,3.303
0.74719,0.62994,3.069
0.06831,0.15747,2.905
